자치구,살인,강도,강간강제추행,절도,폭력,발생합계,검거합계,검거율
강남구,48.0,131.0,2684.0,17466.0,20521.0,40850.0,27416.0,67.1
강동구,21.0,47.0,806.0,9705.0,12699.0,23278.0,15763.0,67.7
강북구,36.0,54.0,955.0,6276.0,12025.0,19346.0,14809.0,76.5
강서구,46.0,42.0,1336.0,10001.0,14663.0,26088.0,18908.0,72.5
관악구,39.0,66.0,1734.0,11829.0,15687.0,29355.0,19145.0,65.2
광진구,29.0,56.0,1258.0,12818.0,11899.0,26060.0,16628.0,63.8
구로구,35.0,56.0,1384.0,10064.0,14567.0,26106.0,16977.0,65.0
금천구,27.0,34.0,928.0,6692.0,10145.0,17826.0,13125.0,73.6
노원구,29.0,35.0,903.0,9414.0,12820.0,23201.0,15361.0,66.2
도봉구,14.0,33.0,614.0,4693.0,7120.0,12474.0,9144.0,73.3
동대문구,35.0,44.0,814.0,8724.0,11908.0,21525.0,15952.0,74.1
동작구,19.0,39.0,1497.0,7255.0,8790.0,17600.0,11201.0,63.6
마포구,25.0,54.0,1931.0,11950.0,13957.0,27917.0,17572.0,62.9
서대문구,20.0,18.0,922.0,7490.0,9353.0,17803.0,12036.0,67.6
서초구,33.0,54.0,2046.0,11250.0,12042.0,25425.0,16414.0,64.6
성동구,12.0,25.0,629.0,6727.0,7797.0,15190.0,10381.0,68.3
성북구,31.0,38.0,825.0,7893.0,10193.0,18980.0,13185.0,69.5
송파구,40.0,44.0,1306.0,14607.0,16258.0,32255.0,20076.0,62.2
양천구,18.0,31.0,638.0,8641.0,11351.0,20679.0,13381.0,64.7
영등포구,73.0,64.0,1747.0,12981.0,17136.0,32001.0,20359.0,63.6
용산구,12.0,38.0,1316.0,7048.0,10813.0,19227.0,13137.0,68.3
은평구,28.0,47.0,928.0,8597.0,12550.0,22150.0,15915.0,71.9
종로구,28.0,48.0,1164.0,9523.0,11169.0,21932.0,21688.0,98.9
중구,15.0,50.0,1063.0,10975.0,10880.0,22983.0,14728.0,64.1
중랑구,41.0,45.0,860.0,9275.0,14225.0,24446.0,17213.0,70.4
합계,754.0,1193.0,30288.0,241894.0,310568.0,584697.0,400514.0,68.5
