기간	자치구	합계	합계	살인	살인	강도	강도	강간강제추행	강간강제추행	절도	절도	폭력	폭력
기간	자치구	발생	검거	발생	검거	발생	검거	발생	검거	발생	검거	발생	검거
2014	합계	130,674	79,061	158	152	343	299	5,462	4,957	59,393	19,120	65,318	54,533
2014	종로구	5,021	4,610	3	7	12	15	226	948	2,272	1,281	2,508	2,359
2014	중구	5,231	3,188	6	5	13	13	221	161	2,576	887	2,415	2,122
2014	용산구	3,799	2,340	1	2	7	7	213	169	1,560	522	2,018	1,640
2014	성동구	3,582	2,048	1	1	5	6	141	103	1,753	529	1,682	1,409
2014	광진구	6,268	3,531	8	9	16	22	249	199	3,167	1,001	2,828	2,300
2014	동대문구	4,363	2,882	12	11	13	8	141	112	1,809	676	2,388	2,075
2014	중랑구	5,353	3,259	11	10	14	11	163	118	2,390	823	2,775	2,297
2014	성북구	4,606	3,028	8	5	16	20	165	128	2,130	935	2,287	1,940
2014	강북구	4,030	2,806	6	5	21	10	189	152	1,494	575	2,320	2,064
2014	도봉구	3,124	1,986	6	7	11	15	172	159	1,350	478	1,585	1,327
2014	노원구	5,312	3,300	5	4	8	7	173	136	2,404	803	2,722	2,350
2014	은평구	5,431	3,325	5	3	24	21	188	158	2,352	798	2,862	2,345
2014	서대문구	4,194	2,588	3	3	4	7	185	150	1,883	665	2,119	1,763
2014	마포구	5,740	3,136	4	4	22	9	265	218	2,763	742	2,686	2,163
2014	양천구	4,642	2,654	5	5	11	10	129	96	2,058	630	2,439	1,913
2014	강서구	5,289	3,225	8	6	9	9	214	179	2,341	734	2,717	2,297
2014	구로구	5,389	2,985	3	3	14	10	252	186	2,377	579	2,743	2,207
2014	금천구	3,842	2,434	7	7	9	6	162	133	1,552	496	2,112	1,792
2014	영등포구	7,003	4,072	14	15	10	5	250	183	3,080	892	3,649	2,977
2014	동작구	3,869	2,312	2	2	9	7	203	120	1,787	603	1,868	1,580
2014	관악구	6,781	3,701	7	8	25	22	361	238	3,029	784	3,359	2,649
2014	서초구	5,558	3,122	6	9	14	12	285	184	2,747	782	2,506	2,135
2014	강남구	8,851	5,262	13	9	37	29	512	403	3,895	1,193	4,394	3,628
2014	송파구	8,004	3,982	9	8	9	10	255	195	4,199	885	3,532	2,884
2014	강동구	5,392	3,285	5	4	10	8	148	129	2,425	827	2,804	2,317
2015	합계	126,401	82,680	163	156	276	257	5,449	5,069	55,307	21,842	65,206	55,356
2015	종로구	4,705	4,430	6	8	11	13	211	1,139	2,184	1,145	2,293	2,125
2015	중구	4,954	2,942	3	2	9	6	170	111	2,548	859	2,224	1,964
2015	용산구	3,820	2,483	5	5	14	14	194	173	1,557	587	2,050	1,704
2015	성동구	3,358	2,123	4	4	9	8	126	119	1,607	597	1,612	1,395
2015	광진구	5,909	3,707	4	4	14	26	240	220	3,026	1,277	2,625	2,180
2015	동대문구	4,720	3,205	5	5	13	13	173	146	1,981	814	2,548	2,227
2015	중랑구	5,193	3,405	13	12	11	9	187	148	2,135	829	2,847	2,407
2015	성북구	4,154	2,729	5	5	5	4	150	124	1,785	741	2,209	1,855
2015	강북구	4,257	3,113	7	8	14	13	153	126	1,434	618	2,649	2,348
2015	도봉구	2,664	1,900	3	3	9	10	102	106	1,063	478	1,487	1,303
2015	노원구	5,130	3,268	10	10	7	7	197	121	2,193	801	2,723	2,329
2015	은평구	4,745	3,167	3	3	9	6	166	141	1,914	711	2,653	2,306
2015	서대문구	4,029	2,579	2	2	5	4	154	124	1,812	738	2,056	1,711
2015	마포구	5,854	3,597	8	8	14	10	294	247	2,555	813	2,983	2,519
2015	양천구	4,528	2,815	3	5	6	3	120	105	1,890	672	2,509	2,030
2015	강서구	5,585	4,190	7	8	13	13	262	191	2,096	1,260	3,207	2,718
2015	구로구	5,646	3,502	8	6	15	11	281	164	2,335	889	3,007	2,432
2015	금천구	3,781	2,796	3	4	6	6	151	122	1,567	888	2,054	1,776
2015	영등포구	6,867	4,154	14	12	22	20	295	183	2,964	978	3,572	2,961
2015	동작구	4,074	2,397	5	5	9	5	285	139	1,865	661	1,910	1,587
2015	관악구	6,345	3,712	9	8	12	14	320	221	2,706	827	3,298	2,642
2015	서초구	5,444	3,450	8	6	9	6	393	249	2,635	1,091	2,399	2,098
