기간	대분류	분류	소음	소음	대기오염	대기오염	휴식공간 및 녹지부족	휴식공간 및 녹지부족	수질오염	수질오염	범죄 폭력	범죄 폭력	길거리의 쓰레기방치	길거리의 쓰레기방치	주차질서	주차질서
기간	대분류	분류	심각	비심각	심각	비심각	심각	비심각	심각	비심각	심각	비심각	심각	비심각	심각	비심각
2011	서울시	서울시	27.7	72.3	27.9	72.1	29.4	70.6	21.2	78.8	30.5	69.5	35.1	64.9	48.8	51.2
2011	성별	남자	26.9	73.1	28.1	71.9	29.1	70.9	21.9	78.1	31.3	68.7	35	65	50.1	49.9
2011	성별	여자	30.3	69.7	26.9	73.1	30.5	69.5	18.6	81.4	27.5	72.5	35.3	64.7	44.1	55.9
2011	연령별	20대 이하	29.6	70.4	27	73	27.9	72.1	19.3	80.7	26.3	73.7	34.2	65.8	47	53
2011	연령별	30대	28.2	71.8	27.1	72.9	32.6	67.4	22.5	77.5	32.4	67.6	38	62	52	48
2011	연령별	40대	28.6	71.4	30.5	69.5	30.2	69.8	22.7	77.3	34.1	65.9	36.7	63.3	51.1	48.9
2011	연령별	50대	27.5	72.5	29	71	29.4	70.6	21.6	78.4	30.9	69.1	33.8	66.2	49.2	50.8
2011	연령별	60대 이상	25.5	74.5	24.6	75.4	25.8	74.2	18.2	81.8	25.3	74.7	31.8	68.2	42.9	57.1
2011	학력별	중졸 이하	28.6	71.4	24.8	75.2	26.8	73.2	16.7	83.3	27.8	72.2	34.9	65.1	46.2	53.8
2011	학력별	고졸 이하	28.5	71.5	27.5	72.5	31.8	68.2	22.9	77.1	31.6	68.4	37.6	62.4	50.3	49.7
2011	학력별	대졸 이하	26.7	73.3	28.7	71.3	28.5	71.5	21.2	78.8	31.1	68.9	33.8	66.2	48.4	51.6
2011	학력별	대학원 이상	30.4	69.6	33.2	66.8	30.3	69.7	22.5	77.5	19.4	80.6	27.4	72.6	51.3	48.7
2011	주택형태	단독주택	26.9	73.1	27	73	32.4	67.6	21.1	78.9	32.1	67.9	39.5	60.5	53.4	46.6
